Loyalty#,Province or State,City,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,Education Encoded,LoyaltyStatus Encoded,FlightsTotal,KMPerFlight,FlightsRatioAccompanied,DistanceRatioRedeemedPoints,Flights2019,FlightsJan,FlightsFeb,FlightsMar,FlightsApr,FlightsMay,FlightsJun,FlightsJul,FlightsAug,FlightsSep,FlightsOct,FlightsNov,FlightsDec,Flights2020,Flights2021,FlightsGrowth2020vs2019%,FlightsGrowth2021vs2020%,MonthlyFlightVariance,CLVperPointsRedeemed,Months Enrolled
429460,British Columbia,Vancouver,male,College,Urban,0.0,Single,Star,2017-07-14,2021-01-08,3839.75,Standard,2,1,120,1986.47,0.33,0.02,54,21,8,15,0,23,0,0,21,15,0,15,2,60,6,11.11,-90.0,17.422285714285714,0.7,42
354730,New Brunswick,Fredericton,female,College,Urban,0.0,Married,Star,2017-10-23,2021-01-02,3885.46,Standard,2,1,134,2216.99,0.38,0.0,63,26,10,0,10,0,30,8,17,25,4,6,0,70,1,11.11,-98.57,24.770349206349206,0.0,38
733338,Ontario,Thunder Bay,female,Bachelor,Rural,66676.0,Married,Star,2019-06-03,2020-02-03,3919.37,Standard,3,1,19,2555.79,0.42,0.0,9,19,0,0,0,0,0,0,0,0,0,0,0,10,0,11.11,-100.0,4.884920634920633,0.0,8
869743,Ontario,Sudbury,female,Bachelor,Suburban,56480.0,Single,Star,2019-11-10,2020-07-10,3924.42,Standard,3,1,99,1991.64,0.19,0.0,47,15,0,15,21,0,30,17,0,0,0,0,0,52,0,10.64,-100.0,22.55739682539683,0.0,8
654748,Ontario,Ottawa,female,Bachelor,Rural,46210.0,Married,Star,2020-04-03,2020-12-03,3996.77,Standard,3,1,82,2018.66,0.21,0.0,39,0,0,0,0,0,10,0,0,23,15,10,25,43,0,10.26,-100.0,16.784468253968253,0.0,8
881142,British Columbia,Vancouver,female,Doctor,Suburban,13330.0,Single,Star,2019-09-27,2020-05-27,4046.94,Standard,5,1,65,2402.09,0.35,0.08,31,15,10,15,13,11,0,0,0,0,0,0,0,34,0,9.68,-100.0,8.995968253968257,0.31,8
711363,Ontario,Sudbury,male,College,Suburban,0.0,Married,Star,2021-04-24,2021-12-24,4064.11,2021 Promotion,2,1,41,1995.68,0.2,0.0,0,0,0,0,0,3,5,8,0,9,5,11,0,0,41,0.0,0.0,7.951587301587303,0.0,8
539673,Ontario,Toronto,female,Bachelor,Urban,24123.0,Married,Star,2018-02-20,2021-06-06,4087.51,Standard,3,1,149,1820.94,0.1,0.03,64,22,28,28,0,0,11,0,0,11,6,21,21,71,14,10.94,-80.28,23.817801587301588,0.54,39
528492,Quebec,Hull,male,Bachelor,Suburban,38884.0,Married,Star,2018-06-09,2021-11-18,4090.75,Standard,3,1,202,2245.95,0.26,0.03,68,37,21,30,6,7,2,4,6,27,24,17,23,75,60,10.29,-20.0,23.991642857142864,0.33,41
382197,British Columbia,Vancouver,male,Bachelor,Rural,51193.0,Married,Star,2020-10-30,2021-06-30,4100.47,Standard,3,1,48,1272.4,0.25,0.06,4,10,0,6,9,13,0,0,0,0,0,10,0,5,38,25.0,660.0,10.530753968253967,1.11,8
467182,Alberta,Edmonton,female,Bachelor,Rural,96263.0,Married,Star,2016-12-25,2021-10-22,4160.02,Standard,3,1,220,1589.68,0.23,0.04,66,1,31,24,21,38,26,13,39,10,17,0,0,73,81,10.61,10.96,34.42942063492064,0.3,58
260106,Manitoba,Winnipeg,female,Bachelor,Rural,77853.0,Single,Star,2016-06-22,2020-04-30,4228.25,Standard,3,1,36,2966.86,0.53,0.0,17,6,0,28,2,0,0,0,0,0,0,0,0,19,0,11.76,-100.0,11.11856349206349,0.0,46
397518,Saskatchewan,Regina,male,Bachelor,Rural,60334.0,Married,Star,2021-01-31,2021-09-30,4235.18,Standard,3,1,56,1739.38,0.46,0.0,0,0,11,10,0,3,11,4,14,3,0,0,0,0,56,0.0,0.0,13.853968253968253,0.0,8
530105,Ontario,London,male,College,Suburban,0.0,Single,Star,2020-11-08,2021-07-08,4242.69,Standard,2,1,57,1872.61,0.3,0.09,3,3,8,1,5,14,20,0,0,0,0,0,6,3,51,0.0,1600.0,17.771071428571428,0.42,8
398535,Quebec,Tremblant,female,College,Suburban,0.0,Single,Star,2021-04-10,2021-12-10,4250.28,2021 Promotion,2,1,33,1900.73,0.52,0.1,0,0,0,0,0,0,0,0,12,0,5,0,16,0,33,0.0,0.0,11.278571428571428,0.7,8
602176,Quebec,Quebec City,female,Bachelor,Urban,60475.0,Married,Star,2019-08-20,2021-05-17,4330.39,Standard,3,1,129,2530.95,0.31,0.04,49,0,7,28,4,16,2,25,0,15,11,21,0,54,26,10.2,-51.85,19.226634920634922,0.34,21
258358,Quebec,Montreal,female,College,Suburban,0.0,Single,Star,2019-07-25,2020-03-25,4363.2,Standard,2,1,48,732.38,0.08,0.0,22,0,19,28,0,0,0,0,0,0,0,0,0,25,0,13.64,-100.0,15.016468253968254,0.0,8
474174,Ontario,Sudbury,female,Doctor,Urban,23566.0,Married,Star,2018-11-06,2021-01-25,4365.26,Standard,5,1,192,2033.42,0.27,0.03,86,22,2,19,15,23,27,30,11,19,8,0,15,95,11,10.47,-88.42,26.738753968253963,0.36,27
274698,British Columbia,Vancouver,male,Bachelor,Rural,34549.0,Married,Star,2016-09-22,2021-03-25,4434.41,Standard,3,1,173,1867.42,0.06,0.0,74,17,11,37,0,27,27,30,4,4,17,0,0,82,17,10.81,-79.27,32.73542857142856,0.0,54
296412,Ontario,Ottawa,male,Bachelor,Rural,91967.0,Married,Star,2021-04-03,2021-05-12,4533.73,2021 Promotion,3,1,9,532.89,0.0,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0.0,0.0,2.250000000000001,0.0,1
326561,British Columbia,Vancouver,female,Bachelor,Rural,85140.0,Single,Star,2018-01-20,2020-05-25,4554.56,Standard,3,1,66,1797.29,0.2,0.0,32,11,23,6,23,4,0,0,0,0,0,0,0,35,0,9.38,-100.0,13.91799206349207,0.0,28
313837,Ontario,Toronto,male,College,Urban,0.0,Single,Star,2021-03-06,2021-11-06,4556.59,2021 Promotion,2,1,41,1594.05,0.68,0.0,0,0,0,0,0,12,1,0,11,0,11,6,0,0,41,0.0,0.0,10.751587301587303,0.0,8
685792,British Columbia,Vancouver,female,Bachelor,Suburban,39187.0,Divorced,Star,2019-07-12,2020-09-09,4563.02,Standard,3,1,59,2981.71,0.47,0.0,28,11,0,0,6,17,8,13,0,4,0,0,0,31,0,10.71,-100.0,7.330944444444445,0.0,14
947123,Quebec,Tremblant,female,Bachelor,Urban,32906.0,Single,Star,2020-11-18,2021-04-23,4574.92,Standard,3,1,28,1385.71,0.39,0.11,0,8,0,10,10,0,0,0,0,0,0,0,0,0,28,0.0,0.0,6.92063492063492,1.07,5
413445,Quebec,Montreal,female,Bachelor,Urban,49558.0,Divorced,Star,2020-08-30,2021-04-30,4582.16,Standard,3,1,68,1950.88,0.19,0.07,19,3,7,10,8,0,0,0,0,23,4,13,0,21,28,10.53,33.33,12.871515873015872,0.5,8
821379,British Columbia,Victoria,female,Bachelor,Urban,37308.0,Married,Star,2020-09-23,2021-05-23,4601.91,Standard,3,1,85,1867.67,0.16,0.04,21,7,3,7,12,12,0,0,0,0,19,0,25,23,41,9.52,78.26,19.503134920634917,0.81,8
702493,British Columbia,Vancouver,male,College,Rural,0.0,Married,Star,2020-02-19,2020-10-19,4624.62,Standard,2,1,103,1422.64,0.0,0.0,49,0,0,0,15,17,0,36,0,11,23,0,0,54,0,10.2,-100.0,27.121428571428574,0.0,8
401858,Ontario,Toronto,male,College,Suburban,0.0,Divorced,Star,2020-08-28,2021-04-28,4644.7,Standard,2,1,57,2473.98,0.25,0.04,16,9,7,7,0,0,0,0,0,13,11,0,10,18,23,12.5,27.78,8.206158730158734,0.91,8
779435,Ontario,Toronto,female,College,Suburban,0.0,Single,Star,2021-03-19,2021-11-19,4645.84,2021 Promotion,2,1,40,2990.25,0.2,0.0,0,0,0,0,4,3,0,5,9,11,8,0,0,0,40,0.0,0.0,7.75873015873016,0.0,8
437269,British Columbia,Vancouver,female,College,Suburban,0.0,Single,Star,2019-03-01,2021-01-19,4654.84,Standard,2,1,110,1623.26,0.32,0.05,47,19,10,0,0,10,25,0,0,25,11,2,10,52,11,10.64,-78.85,17.987714285714283,0.58,23
723390,British Columbia,Vancouver,female,Bachelor,Suburban,30383.0,Divorced,Star,2016-01-21,2020-03-13,4655.21,Standard,3,1,19,845.89,0.58,0.0,9,13,0,6,0,0,0,0,0,0,0,0,0,10,0,11.11,-100.0,2.7129206349206347,0.0,50
553567,Quebec,Tremblant,female,Bachelor,Urban,76157.0,Married,Star,2020-03-19,2020-11-19,4669.23,Standard,3,1,82,1525.54,0.3,0.0,39,0,0,0,10,0,27,6,0,4,19,17,0,43,0,10.26,-100.0,16.16389682539682,0.0,8
715668,Ontario,Ottawa,female,High School or Below,Rural,26411.0,Married,Star,2020-09-07,2020-10-31,4698.35,Standard,1,1,15,410.8,0.4,0.0,7,0,0,0,0,0,0,0,0,0,15,0,0,8,0,14.29,-100.0,3.1263492063492064,0.0,2
873180,British Columbia,Vancouver,male,Doctor,Suburban,11417.0,Married,Star,2020-12-10,2021-08-10,4700.01,Standard,5,1,41,2690.78,0.54,0.05,0,5,5,0,0,0,16,9,6,0,0,0,0,0,41,0.0,0.0,10.751587301587302,0.93,8
673061,Ontario,Toronto,female,College,Urban,0.0,Single,Star,2019-09-30,2020-05-30,4706.68,Standard,2,1,49,2282.76,0.31,0.0,23,10,15,0,0,25,0,0,0,0,0,0,0,26,0,13.04,-100.0,11.405492063492066,0.0,8
264064,Saskatchewan,Regina,male,College,Urban,0.0,Married,Star,2020-07-21,2021-03-21,4715.47,Standard,2,1,87,1849.13,0.15,0.0,35,5,8,0,0,0,0,0,23,4,23,0,25,39,13,11.43,-66.67,20.36218253968254,0.0,8
275387,British Columbia,Vancouver,female,Bachelor,Suburban,55385.0,Single,Star,2021-03-15,2021-11-15,4732.22,2021 Promotion,3,1,40,2712.08,0.42,0.0,0,0,0,0,0,3,5,5,11,9,0,7,0,0,40,0.0,0.0,7.587301587301587,0.0,8
555112,Quebec,Montreal,female,College,Rural,0.0,Single,Star,2016-11-18,2020-08-26,4740.2,Standard,2,1,53,2723.45,0.15,0.0,25,0,2,25,0,6,0,4,17,0,0,0,0,28,0,12.0,-100.0,11.406349206349205,0.0,45
726732,Manitoba,Winnipeg,male,College,Rural,0.0,Single,Star,2018-06-25,2020-11-22,4740.2,Standard,2,1,146,1940.71,0.18,0.05,69,11,15,0,19,2,19,30,30,0,4,15,0,77,0,11.59,-100.0,28.57323015873016,0.37,29
251116,Quebec,Montreal,male,Bachelor,Rural,70432.0,Married,Star,2017-07-09,2020-01-09,4766.65,Standard,3,1,6,249.17,1.0,0.0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,-100.0,0.4396428571428572,0.0,30
368292,Alberta,Edmonton,female,College,Urban,0.0,Married,Star,2019-11-01,2020-02-01,4770.26,Standard,2,1,15,4304.27,0.0,0.0,7,2,13,0,0,0,0,0,0,0,0,0,0,8,0,14.29,-100.0,2.4023492063492062,0.0,3
532925,Ontario,Sudbury,male,Bachelor,Suburban,27725.0,Married,Star,2019-12-15,2020-08-15,4773.66,Standard,3,1,162,1092.19,0.15,0.06,76,21,21,28,0,25,30,17,19,0,0,0,0,85,0,11.84,-100.0,34.78923015873015,0.47,8
436087,Quebec,Montreal,male,Bachelor,Rural,45515.0,Married,Star,2021-04-16,2021-08-17,4786.89,2021 Promotion,3,1,54,2138.8,0.24,0.05,0,0,0,0,0,6,14,16,18,0,0,0,0,0,54,0.0,0.0,20.885714285714286,0.79,4
471460,British Columbia,Whistler,female,Bachelor,Suburban,45515.0,Married,Star,2021-04-17,2021-12-17,4786.89,2021 Promotion,3,1,62,1547.6,0.18,0.0,0,0,0,0,0,3,9,14,18,10,7,0,1,0,62,0.0,0.0,18.66349206349206,0.0,8
277356,British Columbia,Vancouver,female,College,Suburban,0.0,Divorced,Star,2020-02-10,2020-10-10,4830.91,Standard,2,1,49,3426.43,0.55,0.0,23,0,0,10,13,13,2,0,0,0,11,0,0,26,0,13.04,-100.0,6.337492063492064,0.0,8
936723,British Columbia,Victoria,male,College,Rural,0.0,Single,Star,2020-02-23,2020-10-23,4832.12,Standard,2,1,142,1877.49,0.37,0.0,68,0,0,30,4,19,13,0,27,28,21,0,0,75,0,10.29,-100.0,33.064214285714286,0.0,8
965066,Ontario,Toronto,male,Bachelor,Urban,73769.0,Married,Star,2020-12-25,2021-08-25,4838.21,Standard,3,1,60,1437.53,0.13,0.0,0,10,10,9,0,15,14,0,2,0,0,0,0,0,60,0.0,0.0,17.31428571428571,0.0,8
110142,British Columbia,Vancouver,male,College,Rural,0.0,Single,Star,2021-02-22,2021-10-22,4866.65,2021 Promotion,2,1,76,1426.87,0.39,0.02,0,0,0,15,1,7,16,17,14,0,6,0,0,0,76,0.0,0.0,25.47301587301587,1.94,8
306288,Ontario,Toronto,female,Bachelor,Rural,21709.0,Married,Star,2016-11-05,2021-01-23,4892.44,Standard,3,1,155,1926.62,0.22,0.0,72,24,19,0,15,0,23,32,8,15,8,0,11,80,3,11.11,-96.25,25.146825396825395,0.0,51
285738,British Columbia,Vancouver,female,Bachelor,Suburban,36428.0,Divorced,Star,2019-09-27,2020-05-27,4896.56,Standard,3,1,89,1155.52,0.17,0.0,42,8,13,21,19,28,0,0,0,0,0,0,0,47,0,11.9,-100.0,20.097039682539684,0.0,8
982608,British Columbia,Vancouver,male,College,Suburban,0.0,Single,Star,2019-09-26,2020-05-26,4921.75,Standard,2,1,61,2219.51,0.34,0.1,29,2,13,13,19,13,0,0,0,0,0,0,0,32,0,10.34,-100.0,9.891301587301587,0.38,8
788460,Ontario,Toronto,male,Bachelor,Suburban,70412.0,Married,Star,2019-05-19,2021-02-16,4930.95,Standard,3,1,162,1138.41,0.21,0.07,68,22,22,19,23,0,0,36,17,0,0,10,13,75,20,10.29,-73.33,28.512658730158734,0.37,21
750776,Ontario,Trenton,male,Bachelor,Suburban,29560.0,Married,Star,2020-05-20,2021-01-20,4935.19,Standard,3,1,61,1715.57,0.03,0.03,25,8,0,0,0,0,23,0,0,0,0,0,30,28,8,12.0,-71.43,19.54171428571429,1.4,8
936612,Quebec,Montreal,male,Bachelor,Urban,76283.0,Married,Aurora,2020-01-31,2020-09-30,4938.21,Standard,3,3,120,2306.09,0.08,0.04,57,0,13,11,13,23,11,32,6,10,0,0,0,63,0,10.53,-100.0,21.57050000000001,0.5,8
101876,Quebec,Quebec City,male,College,Rural,0.0,Single,Aurora,2020-10-31,2021-06-30,4949.53,Standard,2,3,59,2359.83,0.29,0.07,17,3,0,0,0,3,17,0,0,0,0,21,15,19,23,11.76,21.05,15.5665,0.51,8
919922,Ontario,Sudbury,female,College,Urban,0.0,Divorced,Aurora,2020-08-16,2021-04-16,4957.16,Standard,2,3,71,1898.68,0.14,0.0,19,3,9,10,9,0,0,0,0,23,0,17,0,21,31,10.53,47.62,15.389039682539686,0.0,8
307233,New Brunswick,Moncton,male,College,Rural,0.0,Single,Aurora,2019-03-26,2021-11-23,4965.49,Standard,2,3,254,1710.04,0.37,0.02,86,29,10,2,8,29,55,28,9,32,2,32,19,96,72,11.63,-25.0,37.56742857142857,0.49,32
809728,Ontario,Toronto,female,Doctor,Rural,19589.0,Married,Aurora,2021-01-31,2021-09-30,4987.64,Standard,5,3,42,2807.55,0.02,0.04,0,0,3,0,11,5,6,4,13,0,0,0,0,0,42,0.0,0.0,9.342857142857143,1.04,8
189146,Quebec,Montreal,female,Bachelor,Suburban,49414.0,Single,Aurora,2020-05-10,2021-01-10,4999.35,Standard,3,3,106,1773.0,0.25,0.11,50,0,0,0,0,0,23,0,17,17,21,25,4,56,0,12.0,-100.0,22.04368253968254,0.24,8
